Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R25,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,177.0,-71.5,0.0,top
R26,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,195.5,-71.5,0.0,top
R27,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,214.5,-71.5,0.0,top
R28,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,189.9025,-117.0,180.0,top
R29,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,208.9025,-117.0,180.0,top
R30,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,170.9025,-117.0,180.0,top
R32,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.05,-117.0,90.0,top
R6,5.1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.0,-56.0,180.0,top
R7,5.1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,151.9025,-57.5,180.0,top
R9,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,99.5,-74.2,90.0,top
SW1,SW_Push,SW_Kailh_Choc_V1_THT,177.35,-64.09275,0.0,top
SW2,SW_Push,SW_Kailh_Choc_V1_THT,177.375,-129.49275,0.0,top
SW3,SW_Push,SW_Kailh_Choc_V1_THT,196.275,-64.09275,0.0,top
SW4,SW_Push,SW_Kailh_Choc_V1_THT,215.175,-129.49275,0.0,top
SW5,SW_Push,SW_Kailh_Choc_V1_THT,215.2,-64.09275,0.0,top
SW6,SW_Push,SW_Kailh_Choc_V1_THT,196.275,-129.49275,0.0,top
SW7,C92589,KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,106.0,-58.5,90.0,top
SW8,C92589,KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,97.5,-58.5,90.0,top
U1,ESP32-S3-WROOM-1U-N16R8,WIRELM-SMD_ESP32-S3-WROOM-1U,154.55,-97.03,0.0,top
U2,SGM2050XTRL20G/TR,VQFN-20_L3.5-W3.5-P0.50-BL-EP2.1,159.27,-70.0,0.0,top
U4,TMC6300-LA-T_C5274455,QFN-20_L3.0-W3.0-P0.40-BL-EP1.7,137.2,-93.91,0.0,top
U5,XY-GH1.25-7A61,CONN-SMD_7P-P1.25_XYECONN_XY-GH1.25-7A61,159.5,-131.65,180.0,top
U6,PCA9554ARGVR,VQFN-16_L4.0-W4.0-P0.65-TL-EP2.2,183.99,-90.5,-90.0,top
U7,AS5047P-ATSM_C962063,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,110.06,-111.0,0.0,top
USB1,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,159.0,-55.605,180.0,top
